median_household_income_aud, ppl_reporting_high_blood_pressure_rank, ppl_reporting_heart_disease_perc, ppl_reporting_heart_disease_rank, ppl_not_meet_phys_activity_glines_rank, males_reporting_fair_or_poor_hlth_status_perc, females_reporting_fair_or_poor_hlth_status_perc, ppl_reporting_being_obese_perc, travel_time_to_melbourne_minutes, ppl_reporting_type_2_diabetes_perc, distance_to_melbourne_km, id, ppl_reporting_high_blood_pressure_perc, remoteness_area, lga_code, lga_name, ppl_reporting_type_2_diabetes_rank, ppl_reporting_fair_or_poor_hlth_status_perc, ppl_not_meet_phys_activity_glines_perc, commercial_land_use_perc, ppl_reporting_being_pre_obese_perc
1066.0,70,6.9,40,70,13.9,12.9,27.7,196.0,4.2,272.0,34,21.2,"Inner Regional Australia",23350,"Indigo (S)",49,13.4,47.7,0.0,22.2
1292.0,63,6.3,58,35,21.9,13.9,18.6,22.0,4.1,20.0,35,22.8,"Major Cities of Australia",23430,"Kingston (C)",55,17.4,54.9,1.9,38.3
1401.0,40,6.4,54,49,17.8,16.3,18.2,26.0,6.2,31.0,36,26.4,"Major Cities of Australia",23670,"Knox (C)",12,17.4,52.8,3.7,36.0
942.0,1,5.6,69,17,14.8,16.9,22.0,110.0,7.0,161.0,37,37.1,"Inner Regional Australia",23810,"Latrobe (C)",5,15.3,57.5,0.1,36.6
686.0,4,5.3,73,14,25.5,13.0,24.7,194.0,5.0,248.0,38,32.9,"Outer Regional Australia",23940,"Loddon (S)",34,18.4,57.9,0.0,41.0
1395.0,47,6.4,55,47,13.8,13.3,14.1,38.0,3.0,55.0,39,25.2,"Inner Regional Australia",24130,"Macedon Ranges (S)",74,13.1,53.3,0.1,31.1
1467.0,66,7.5,30,25,8.0,9.8,13.9,20.0,3.2,21.0,40,22.0,"Major Cities of Australia",24210,"Manningham (C)",72,9.1,55.6,0.4,30.0
891.0,68,8.0,19,8,10.0,10.3,16.3,158.0,4.5,188.0,41,21.6,"Outer Regional Australia",24250,"Mansfield (S)",45,9.9,58.7,0.0,27.8
1257.0,23,3.9,79,38,15.3,18.0,11.9,10.0,5.3,9.0,42,28.6,"Major Cities of Australia",24330,"Maribyrnong (C)",28,16.9,54.6,5.7,34.9
1308.0,16,6.8,42,22,13.3,15.0,16.7,29.0,4.2,33.0,43,28.9,"Major Cities of Australia",24410,"Maroondah (C)",53,14.3,56.7,2.1,31.6
1352.0,78,6.2,61,65,19.6,13.3,8.2,3.0,2.9,2.0,44,18.4,"Major Cities of Australia",24600,"Melbourne (C)",75,16.7,49.1,4.3,27.6
1363.0,8,5.3,75,2,21.4,16.5,27.2,35.0,8.5,43.0,45,30.0,"Inner Regional Australia",24650,"Melton (C)",1,18.7,61.6,0.3,29.8
