p80_to_p20_ratio, median_aud, highest_quartile_pc, income_aud, income_share_top_5pc, median_age_of_earners_years, lga_code_2016, third_quartile_pc, earners_persons, lowest_quartile_pc, mean_aud, p20_to_p50_ratio, income_share_top_1pc, p10_to_p50_ratio, gini_coefficient_no, second_quartile_pc, income_share_top_10pc, lga_name16, p80_to_p50_ratio
3.86,43473,22.2,2678678534,15.1,38,"24650",31.4,56380,20.7,47511,0.42,4.8,0.21,0.387,25.6,25.1,"Melton (C)",1.63
5.51,34644,15.5,1069613608,18.7,43,"24780",25.9,26772,29.7,39953,0.32,6.5,0.13,0.465,28.9,29.7,"Mildura (RC)",1.78
4.39,40175,20.8,831321047,17.1,42,"24850",28.4,18061,23.7,46029,0.39,5.9,0.18,0.421,27.1,27.5,"Mitchell (S)",1.72
6.38,31731,14.0,546794479,19.2,46,"24900",24.1,14674,32.6,37263,0.29,7.3,0.09,0.492,29.2,30.4,"Moira (S)",1.86
6.17,38414,24.6,4831810839,21.0,42,"24970",22.8,97090,28.2,49766,0.32,7.6,0.13,0.488,24.4,32.7,"Monash (C)",1.99
5.04,45855,30.5,3622467772,21.5,41,"25060",24.7,62024,22.3,58404,0.37,8.2,0.17,0.469,22.5,32.6,"Moonee Valley (C)",1.85
5.04,40961,24.1,731829012,17.6,43,"25150",26.2,15247,24.7,47998,0.36,6.0,0.16,0.44,25.1,28.4,"Moorabool (S)",1.82
4.74,41513,24.6,3876512407,17.7,37,"25250",26.3,78786,23.7,49203,0.38,5.8,0.18,0.433,25.4,28.5,"Moreland (C)",1.8
5.72,36826,22.3,3968954664,23.7,46,"25340",22.8,80821,28.0,49108,0.35,9.9,0.14,0.503,26.9,34.9,"Mornington Peninsula (S)",1.98
4.32,35052,12.6,2501271886,16.0,38,"22670",28.4,65071,27.7,38439,0.38,5.2,0.18,0.408,31.4,26.4,"Greater Dandenong (C)",1.65
5.32,38925,22.6,5628700487,21.0,43,"22750",25.2,115914,26.3,48559,0.35,8.8,0.14,0.469,25.9,31.7,"Greater Geelong (C)",1.87
6.22,33288,16.8,365897473,19.1,49,"25430",24.3,9135,32.4,40054,0.3,6.5,0.12,0.477,26.6,30.3,"Mount Alexander (S)",1.89
5.59,36173,19.5,416129686,21.7,46,"25490",24.8,9345,28.6,44530,0.33,8.7,0.13,0.492,27.2,32.7,"Moyne (S)",1.86
6.59,32709,16.8,291587851,20.7,47,"25620",23.5,7284,33.0,40031,0.29,8.0,0.1,0.499,26.7,31.9,"Murrindindi (S)",1.92
5.52,44594,31.2,4790328292,23.4,41,"22310",22.5,78406,23.2,61096,0.36,9.2,0.16,0.501,23.0,35.3,"Glen Eira (C)",1.98
6.07,37272,22.2,484458954,17.5,46,"22410",23.6,10779,28.4,44945,0.32,5.4,0.12,0.463,25.8,28.8,"Glenelg (S)",1.94
4.99,38813,20.6,463652062,17.5,44,"22490",26.9,10463,26.2,44313,0.36,5.9,0.14,0.451,26.3,28.3,"Golden Plains (S)",1.78
5.18,37518,18.8,2392391198,18.5,43,"22620",26.7,54629,27.4,43793,0.34,6.6,0.14,0.446,27.1,29.2,"Greater Bendigo (C)",1.77
5.16,45123,31.1,2224199165,22.3,45,"25710",23.2,37539,22.4,59250,0.37,8.9,0.17,0.48,23.3,33.4,"Nillumbik (S)",1.91
5.7,34580,16.0,257809657,18.6,47,"25810",24.9,6384,30.4,40384,0.32,6.1,0.12,0.465,28.6,29.8,"Northern Grampians (S)",1.8
4.78,52851,37.2,4478785526,27.4,36,"25900",24.6,59484,18.4,75294,0.39,12.6,0.19,0.512,19.8,38.5,"Port Phillip (C)",1.88
7.21,28994,12.0,114127908,20.5,49,"25990",22.3,3313,36.5,34449,0.26,7.9,0.06,0.522,29.1,32.2,"Pyrenees (S)",1.9
10.39,32251,24.6,98453078,26.3,56,"26080",17.3,1957,34.4,50308,0.23,10.0,0.09,0.568,23.6,39.0,"Queenscliffe (B)",2.43
5.77,34009,18.1,641006698,19.0,47,"26170",23.2,15480,30.3,41409,0.33,5.8,0.13,0.478,28.4,30.6,"South Gippsland (S)",1.91
5.19,36429,18.5,421934889,20.3,47,"26260",25.6,9597,28.1,43965,0.35,7.0,0.13,0.474,27.9,31.5,"Southern Grampians (S)",1.81
5.81,52511,38.5,5729209862,37.2,39,"26350",21.8,61226,20.0,93575,0.36,19.3,0.17,0.607,19.7,48.5,"Stonnington (C)",2.11
5.8,32469,14.5,200471005,18.2,50,"26430",24.0,5314,31.9,37725,0.32,5.9,0.11,0.475,29.6,29.7,"Strathbogie (S)",1.83
6.41,37346,24.3,795058556,23.3,45,"26490",21.7,15862,28.3,50123,0.32,9.5,0.12,0.509,25.6,34.7,"Surf Coast (S)",2.04
5.46,34258,15.6,460362611,20.2,43,"26610",24.7,11376,30.2,40468,0.33,7.3,0.13,0.477,29.5,31.3,"Swan Hill (RC)",1.79
5.88,34124,16.8,135416096,19.0,49,"26670",24.7,3331,29.4,40653,0.31,6.4,0.11,0.476,29.1,30.1,"Towong (S)",1.85
5.5,34613,15.4,629752347,19.1,46,"26700",25.9,15649,29.7,40242,0.32,7.3,0.12,0.462,28.9,29.8,"Wangaratta (RC)",1.78
5.04,38339,19.7,829357717,19.0,43,"26730",27.1,18443,26.5,44969,0.35,7.0,0.15,0.446,26.8,29.5,"Warrnambool (C)",1.77
5.92,36244,21.2,1010038512,20.4,46,"26810",23.3,21956,28.9,46003,0.33,6.6,0.13,0.49,26.6,32.4,"Wellington (S)",1.95
6.94,34748,19.1,100533166,19.7,49,"26890",24.2,2429,30.9,41389,0.27,6.3,0.07,0.529,25.9,31.7,"West Wimmera (S)",1.9
6.18,40480,27.0,4599009167,21.5,43,"26980",22.7,86950,27.2,52893,0.32,7.9,0.13,0.491,23.1,33.1,"Whitehorse (C)",1.98
4.1,40656,19.8,3665427207,15.6,38,"27070",30.1,80960,22.7,45275,0.41,5.0,0.2,0.398,27.5,25.9,"Whittlesea (C)",1.67
4.27,40359,19.7,887008359,16.3,41,"27170",29.7,19792,23.2,44817,0.39,5.4,0.17,0.415,27.3,26.6,"Wodonga (C)",1.68
4.02,44534,24.1,4261908415,15.7,37,"27260",30.6,86208,20.7,49438,0.41,4.9,0.2,0.397,24.5,26.0,"Wyndham (C)",1.66
4.94,50269,34.8,3095167305,23.2,35,"27350",24.5,46341,20.0,66791,0.38,9.2,0.19,0.484,20.7,34.7,"Yarra (C)",1.87
4.63,39306,21.5,3935098988,18.8,43,"27450",26.7,83663,24.4,47035,0.39,6.8,0.17,0.441,27.5,29.5,"Yarra Ranges (S)",1.79
6.88,37403,23.3,189118530,21.7,49,"27630",23.1,3826,29.4,49430,0.3,6.4,0.12,0.506,24.1,33.9,"Yarriambiack (S)",2.06
5.69,21338,7.4,8746873,20.7,36,"29399",17.0,311,45.5,28125,0.4,null,0.21,0.535,30.1,33.4,"Unincorporated Vic",2.25
